v1,v2,,,
NOT SPAM,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
NOT SPAM,I'm on da bus going home...,,,
NOT SPAM,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,,,
NOT SPAM,I'm okay. Chasing the dream. What's good. What are you doing next.,,,
NOT SPAM,Yupz... I've oredi booked slots 4 my weekends liao... ,,,
SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,,,
NOT SPAM,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,,,
NOT SPAM,Okie,,,
NOT SPAM,Yes I know the cheesy songs from frosty the snowman :),,,
NOT SPAM,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",,,
SPAM,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,,,
NOT SPAM,Hey tmr meet at bugis 930 ?,,,
SPAM,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",,,
NOT SPAM,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,,,
NOT SPAM,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,,,
NOT SPAM,And whenever you and i see we can still hook up too.,,,
NOT SPAM,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,,,
NOT SPAM,Can you use foreign stamps for whatever you send them off for? ,,,
SPAM,FROM 88066 LOST å£12 HELP,,,
NOT SPAM,Oh baby of the house. How come you dont have any new pictures on facebook,,,
NOT SPAM,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",,,
NOT SPAM,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",,,
NOT SPAM,"Omw back to tampa from west palm, you hear what happened?",,,
NOT SPAM,Yup no more already... Thanx 4 printing n handing it up.,,,
SPAM,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,,,
NOT SPAM,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,,,
NOT SPAM,S now only i took tablets . Reaction morning only.,,,
SPAM,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,,,
NOT SPAM,"Nah, I'm a perpetual DD",,,
NOT SPAM,Sorry de i went to shop.,,,
SPAM,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,,,
NOT SPAM,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
NOT SPAM,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,,
NOT SPAM,Nope i'm not drivin... I neva develop da photos lei...,,,
NOT SPAM,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,,,
NOT SPAM,Cool. I am  &lt;#&gt;  inches long. hope you like them big!,,,
NOT SPAM,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
NOT SPAM,Okie.. Thanx..,,,
SPAM,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
NOT SPAM,Go where n buy? Juz buy when we get there lar.,,,
NOT SPAM,Ok lor...,,,
NOT SPAM,I'm working technical support :)voice process.,,,
NOT SPAM,It's justbeen overa week since we broke up and already our brains are going to mush!,,,
NOT SPAM,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",,,
NOT SPAM,Nope... C Ì_ then...,,,
NOT SPAM,No. But we'll do medical missions to nigeria,,,
NOT SPAM,No i am not having not any movies in my laptop,,,
NOT SPAM,Whatsup there. Dont u want to sleep,,,
SPAM,Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ‰ÛÏ,,,
SPAM,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",,,
NOT SPAM,I havent lei.. Next mon can?,,,
NOT SPAM,Mm feeling sleepy. today itself i shall get that dear,,,
NOT SPAM,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,,,
NOT SPAM,Do Ì_ noe if ben is going?,,,
NOT SPAM,Can you do a mag meeting this avo at some point?,,,
NOT SPAM,I meant middle left or right?,,,
NOT SPAM,Really? I crashed out cuddled on my sofa.,,,
NOT SPAM,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,
NOT SPAM,"I sent you the prices and do you mean the  &lt;#&gt; g,",,,
NOT SPAM,Are you this much buzy,,,
NOT SPAM,Nothing. Can...,,,
SPAM,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
NOT SPAM,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,,,
NOT SPAM,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,,,
NOT SPAM,"Tick, tick, tick ... Babe",,,
NOT SPAM,R Ì_ going 4 today's meeting?,,,
NOT SPAM,K da:)how many page you want?,,,
NOT SPAM,Ya had just now.onion roast.,,,
NOT SPAM,Send his number and give reply tomorrow morning for why you said that to him like that ok,,,
NOT SPAM,You said not now. No problem. When you can. Let me know.,,,
NOT SPAM,Ok but tell me half an hr b4 u come i need 2 prepare.,,,
NOT SPAM,Play w computer? Aiyah i tok 2 u lor?,,,
NOT SPAM,Sat right? Okay thanks... ,,,
NOT SPAM,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",,,
NOT SPAM,Ok Chinese food on its way. When I get fat you're paying for my lipo.,,,
NOT SPAM,We r outside already.,,,
NOT SPAM,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,,,
NOT SPAM,Yo we are watching a movie on netflix,,,
NOT SPAM,What time. I‰Û÷m out until prob 3 or so,,,
NOT SPAM,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",,,
NOT SPAM,I dont thnk its a wrong calling between us,,,
NOT SPAM,I am not sure about night menu. . . I know only about noon menu,,,
NOT SPAM,ARR birthday today:) i wish him to get more oscar.,,,
NOT SPAM,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
NOT SPAM,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",,,
NOT SPAM, and  picking them up from various points,,,
SPAM,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,,,
NOT SPAM,Wow v v impressed. Have funs shopping!,,,
NOT SPAM,I am on the way to ur home,,,
SPAM,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,,,
NOT SPAM,No problem. Talk to you later,,,
NOT SPAM,Then ur sis how?,,,
NOT SPAM,Still in customer place,,,
SPAM,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,,,
NOT SPAM,"Dude u knw also telugu..thts gud..k, gud nyt..",,,
NOT SPAM,We confirm eating at esplanade?,,,
NOT SPAM,Send me your id and password,,,
NOT SPAM,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,,,
SPAM,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",,,
NOT SPAM,Well I might not come then...,,,
NOT SPAM,Long after I quit. I get on only like 5 minutes a day as it is.,,,
NOT SPAM,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,,,
NOT SPAM,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,,,
NOT SPAM,"Just arrived, see you in a couple days &lt;3",,,
NOT SPAM,"K, wat s tht incident?",,,
NOT SPAM,Yeah get the unlimited,,,
NOT SPAM,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,,,
NOT SPAM,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",,,
NOT SPAM,ÌÏ got wat to buy tell us then Ì_ no need to come in again.,,,
NOT SPAM,When you are big..| God will bring success.,,,
SPAM,U‰Ûªve Bin Awarded å£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min å£50-å£500. OptOut 08718727870,,,
NOT SPAM,"‰Û_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""NOT SPAM""",Well there's still a bit left if you guys want to tonight,,
NOT SPAM,Not from this campus. Are you in the library?,,,
NOT SPAM,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",,,
NOT SPAM,How will I creep on you now? ;_;,,,
NOT SPAM,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,,,
NOT SPAM,If I get there before you after your ten billion calls and texts so help me god,,,
NOT SPAM,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
NOT SPAM,I've told him that i've returned it. That should i re order it.,,,
NOT SPAM,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",,,
NOT SPAM,Depends on where u going lor.,,,
NOT SPAM,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,,,
SPAM,FreeMsg>FAV XMAS TONES!Reply REAL,,,
NOT SPAM,Lil fever:) now fine:),,,
NOT SPAM,I think it's all still in my car,,,
NOT SPAM,Can a not?,,,
SPAM,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,,,
NOT SPAM,Yes princess! I want to catch you with my big strong hands...,,,
NOT SPAM,Oh yeah I forgot. U can only take 2 out shopping at once.,,,
NOT SPAM,Mm so you asked me not to call radio,,,
NOT SPAM,Thinkin about someone is all good. No drugs for that,,,
NOT SPAM,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
NOT SPAM,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",,,
NOT SPAM,"Alright if you're sure, let me know when you're leaving",,,
NOT SPAM,Some are lasting as much as 2 hours. You might get lucky.,,,
NOT SPAM,Genius what's up. How your brother. Pls send his number to my skype.,,,
SPAM,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",,,
NOT SPAM,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,,
NOT SPAM,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,,,
SPAM,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,,,
NOT SPAM,Oh god..taken the teeth?is it paining,,,
SPAM,ROMCAPSPAM Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,,,
NOT SPAM,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,,,
NOT SPAM,No need to buy lunch for me.. I eat maggi mee..,,,
SPAM,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",,,
NOT SPAM,Ok lor...,,,
NOT SPAM,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",,,
NOT SPAM,Wife.how she knew the time of murder exactly,,,
SPAM,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,,,
NOT SPAM,Howz that persons story,,,
NOT SPAM,Thanx 4 sending me home...,,,
NOT SPAM,Its normally hot mail. Com you see!,,,
SPAM,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",,,
NOT SPAM,U sick still can go shopping?,,,
NOT SPAM,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",,,
NOT SPAM,Nice.nice.how is it working?,,,
NOT SPAM,1's reach home call me.,,,
NOT SPAM,Were trying to find a Chinese food place around here,,,
NOT SPAM,"Easy mate, * guess the quick drink was bit ambitious.",,,
NOT SPAM,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,,,
NOT SPAM,Ok thanx...,,,
NOT SPAM,aathi..where are you dear..,,,
NOT SPAM,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",,,
NOT SPAM,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,,,
NOT SPAM,Will be out of class in a few hours. Sorry,,,
NOT SPAM,Wat time u finish ur lect today?,,,
SPAM,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",,,
NOT SPAM,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
SPAM,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",,,
NOT SPAM,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,,,
NOT SPAM,Are you going to wipro interview today?,,,
NOT SPAM,how tall are you princess?,,,
NOT SPAM,I doubt you could handle 5 times per night in any case...,,,
NOT SPAM,Haha... Hope Ì_ can hear the receipt sound... Gd luck!,,,
NOT SPAM,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,,,
NOT SPAM,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
NOT SPAM,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,,,
NOT SPAM,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,,,
NOT SPAM,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
NOT SPAM,I want to be there so i can kiss you and feel you next to me,,,
NOT SPAM,I am not at all happy with what you saying or doing,,,
SPAM,Adult 18 Content Your video will be with you shortly,,,
NOT SPAM,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",,,
NOT SPAM,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,,,
NOT SPAM,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
NOT SPAM,Smith waste da.i wanna gayle.,,,
NOT SPAM,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",,,
NOT SPAM,"Aight, tomorrow around  &lt;#&gt;  it is",,,
NOT SPAM,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
SPAM,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",,,
NOT SPAM,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,,,
NOT SPAM,See you there! ,,,
NOT SPAM,I dont understand your message.,,,
NOT SPAM,Crucify is c not s. You should have told me earlier.,,,
NOT SPAM,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",,,
NOT SPAM,Fuck cedar key and fuck her (come over anyway tho),,,
NOT SPAM,twenty past five he said will this train have been to durNOT SPAM already or not coz i am in a reserved seat,,,
SPAM,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",,,
NOT SPAM,U still painting ur wall?,,,
SPAM,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",,,
NOT SPAM,Printer is cool. I mean groovy. Wine is groovying,,,
NOT SPAM,Hi Harish's rent has been transfred to ur Acnt.,,,
NOT SPAM,Anything lor is she coming?,,,
NOT SPAM,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,,,
NOT SPAM,ÌÏ still attending da talks?,,,
NOT SPAM,No probs hon! How u doinat the mo?,,,
NOT SPAM,K I'll take care of it,,,
NOT SPAM,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,,,
NOT SPAM,My battery is low babe,,,
NOT SPAM,Shuhui has bought ron's present it's a swatch watch...,,,
NOT SPAM,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",,,
NOT SPAM,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,,
NOT SPAM,K I'll be sure to get up before noon and see what's what,,,
NOT SPAM,K...k...yesterday i was in cbe .,,,
NOT SPAM,Went to ganesh dress shop,,,
SPAM,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",,,
NOT SPAM,ÌÏ collecting ur laptop then going to configure da settings izzit?,,,
NOT SPAM,If you r @ home then come down within 5 min,,,
NOT SPAM,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",,,
NOT SPAM,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,,,
SPAM,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
NOT SPAM,"Bill, as in: Are there any letters for me. i‰Ûªm expecting one from orange that isn‰Ûªt a bill but may still say orange on it.",,,
NOT SPAM,Tell me pa. How is pain de.,,,
NOT SPAM,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,,,
NOT SPAM,"Ha. You don‰Û÷t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",,,
NOT SPAM,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
NOT SPAM,ALRITE,,,
NOT SPAM,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,,,
SPAM,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,,,
NOT SPAM,How do you guys go to see movies on your side.,,,
NOT SPAM,"Sorry,in meeting I'll call later",,,
NOT SPAM,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,,,
NOT SPAM,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,,,
SPAM,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,,,
NOT SPAM,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,,,
NOT SPAM,What time should I tell my friend to be around?,,,
NOT SPAM,Yes. that will be fine. Love you. Be safe.,,,
NOT SPAM,Thanks chikku..:-) gud nyt:-*,,,
NOT SPAM,Is xy in ur car when u picking me up?,,,
NOT SPAM,"Thanx 4 the time weåÕve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",,,
NOT SPAM,"Yo, any way we could pick something up tonight?",,,
NOT SPAM,I've not sent it. He can send me.,,,
NOT SPAM,Fine am simply sitting.,,,
NOT SPAM,Thts god's gift for birds as humans hav some natural gift frm god..,,,
NOT SPAM,Are you coming to day for class.,,,
NOT SPAM,Im done. Just studyn in library,,,
NOT SPAM,Ok... U enjoy ur shows...,,,
NOT SPAM,Anything...,,,
NOT SPAM,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx,,,
NOT SPAM,Wat's my dear doing? Sleeping ah?,,,
NOT SPAM,Hi' Test on  &lt;#&gt; rd ....,,,
NOT SPAM,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,,,
NOT SPAM,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,,,
NOT SPAM,Yup n her fren lor. I'm meeting my fren at 730.,,,
NOT SPAM,"Yeah, we got one lined up for us",,,
NOT SPAM,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*""",,,
NOT SPAM,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,,,
NOT SPAM,Hey i've booked the pilates and yoga lesson already... Haha,,,
NOT SPAM,Are you ok. What happen to behave like this,,,
SPAM,You have 1 new message. Please call 08712400200.,,,
NOT SPAM,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,,,
NOT SPAM,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",,,
NOT SPAM,No message..no responce..what happend?,,,
SPAM,We currently have a message awaiting your collection. To collect your message just call 08718723815.,,,
NOT SPAM,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",,,
NOT SPAM,make that 3! 4 fucks sake?! x,,,
NOT SPAM,Leave it. U will always be ignorant.,,,
NOT SPAM,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),,,
NOT SPAM,at bruce b downs &amp; fletcher now,,,
NOT SPAM,Where are you ? You said you would be here when I woke ... :-(,,,
NOT SPAM,Hey now am free you can call me.,,,
NOT SPAM,Tell me whos this pls:-),,,
SPAM,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",,,
NOT SPAM,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",,,
NOT SPAM,Id have to check but there's only like 1 bowls worth left,,,
NOT SPAM,Yes there were many sweets,,,
NOT SPAM,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,,,
SPAM,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
NOT SPAM,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,,,
NOT SPAM,Sir send to group mail check it.,,,
NOT SPAM,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,,,
NOT SPAM,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\""""",,,
NOT SPAM,You dont know you jabo me abi.,,,
SPAM,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",,,
NOT SPAM,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,,,
NOT SPAM,"Are you being good, baby? :)",,,
NOT SPAM,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
NOT SPAM,"Mostly sports type..lyk footbl,crckt..",,,
NOT SPAM,Ma head dey swell oh. Thanks for making my day,,,
NOT SPAM,U should make a fb list,,,
NOT SPAM,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,"this wont even start........ Datz confidence..""",,
NOT SPAM,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,,,
NOT SPAM,Happy New Year Princess!,,,
NOT SPAM,"I'll text carlos and let you know, hang on",,,
NOT SPAM,"Don't worry, * is easy once have ingredients!",,,
NOT SPAM,I love u 2 my little pocy bell I am sorry but I love u,,,
NOT SPAM,"Ok omw now, you at castor?",,,
NOT SPAM,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,,,
SPAM,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",,,
NOT SPAM,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,,,
NOT SPAM,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
NOT SPAM,"Tonight? Yeah, I'd be down for that",,,
NOT SPAM,What should i eat fo lunch senor,,,
NOT SPAM,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ",,,
NOT SPAM,No break time one... How... I come out n get my stuff fr Ì_?,,,
SPAM,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,,,
